Date,Time,Day,Comp,Round_For,Venue,Result_For,HomeTeam,AwayTeam,HomeGoals,AwayGoals,xG_For,xGA_For,Poss_For,HomeCaptain,HomeFormation,Opp Formation_For,Sh_For,SoT_For,SoT%_For,G/Sh_For,G/SoT_For,Dist_For,FK_For,PK_For,PKatt_For,npxG_For,npxG/Sh_For,G-xG_For,np:G-xG_For,Att_For,Live_For,Dead_For,TB_For,Sw_For,Crs_For,TI_For,CK_For,In_For,Out_For,Str_For,Cmp_For,Off_For,Blocks_For,Cmp%_For,TotDist_For,PrgDist_For,Ast_For,xAG_For,xA_For,KP_For,1/3_For,PPA_For,CrsPA_For,PrgP_For,SCA_For,PassLive_For,PassDead_For,TO_For,Fld_For,Def_For,GCA_For,Tkl_For,TklW_For,Def 3rd_For,Mid 3rd_For,Att 3rd_For,Tkl%_For,Lost_For,Pass_For,Int_For,Tkl+Int_For,Clr_For,Err_For,Touches_For,Def Pen_For,Att Pen_For,Succ_For,Succ%_For,Tkld_For,Tkld%_For,Carries_For,PrgC_For,CPA_For,Mis_For,Dis_For,Rec_For,PrgR_For,CrdY_For,CrdR_For,2CrdY_For,Fls_For,PKwon_For,PKcon_For,OG_For,Recov_For,Won_For,Won%_For,GF_ForAway,GA_ForAway,xG_ForAway,xGA_ForAway,Poss_ForAway,Captain_ForAway,Formation_ForAway,Opp Formation_ForAway,Match Report_ForAway,Sh_ForAway,SoT_ForAway,SoT%_ForAway,G/Sh_ForAway,G/SoT_ForAway,Dist_ForAway,FK_ForAway,PK_ForAway,PKatt_ForAway,npxG_ForAway,npxG/Sh_ForAway,G-xG_ForAway,np:G-xG_ForAway,Att_ForAway,Live_ForAway,Dead_ForAway,TB_ForAway,Sw_ForAway,Crs_ForAway,TI_ForAway,CK_ForAway,In_ForAway,Out_ForAway,Str_ForAway,Cmp_ForAway,Off_ForAway,Blocks_ForAway,Cmp%_ForAway,TotDist_ForAway,PrgDist_ForAway,Ast_ForAway,xAG_ForAway,xA_ForAway,KP_ForAway,1/3_ForAway,PPA_ForAway,CrsPA_ForAway,PrgP_ForAway,SCA_ForAway,PassLive_ForAway,PassDead_ForAway,TO_ForAway,Fld_ForAway,Def_ForAway,GCA_ForAway,Tkl_ForAway,TklW_ForAway,Def 3rd_ForAway,Mid 3rd_ForAway,Att 3rd_ForAway,Tkl%_ForAway,Lost_ForAway,Pass_ForAway,Int_ForAway,Tkl+Int_ForAway,Clr_ForAway,Err_ForAway,Touches_ForAway,Def Pen_ForAway,Att Pen_ForAway,Succ_ForAway,Succ%_ForAway,Tkld_ForAway,Tkld%_ForAway,Carries_ForAway,PrgC_ForAway,CPA_ForAway,Mis_ForAway,Dis_ForAway,Rec_ForAway,PrgR_ForAway,CrdY_ForAway,CrdR_ForAway,2CrdY_ForAway,Fls_ForAway,PKwon_ForAway,PKcon_ForAway,OG_ForAway,Recov_ForAway,Won_ForAway,Won%_ForAway
2023-08-11,20:00,Fri,Premier League,Matchweek 1,Home,L,Burnley,Manchester City,0,3,0.3,1.9,35.0,Josh Cullen,5-4-1,4-2-3-1,6.0,1.0,16.7,0.0,0.0,14.9,0.0,0,0,0.3,0.05,-0.3,-0.3,395.0,356.0,39.0,0.0,4.0,7.0,15.0,6.0,2.0,3.0,0.0,313.0,0.0,8.0,79.2,5807.0,1910.0,0,0.3,0.2,5.0,14.0,3.0,0.0,18.0,10.0,7.0,1.0,1.0,0.0,1.0,0.0,12.0,8.0,5.0,5.0,2.0,50.0,3.0,7.0,7.0,19,16.0,0.0,496.0,89.0,14.0,3.0,20.0,12.0,80.0,225.0,10.0,3.0,13.0,5.0,313.0,18.0,0,1,0,11.0,0.0,0.0,0.0,45.0,13.0,50.0,3,0,1.9,0.3,65.0,Kevin De Bruyne,4-2-3-1,5-4-1,Match Report,17.0,8.0,47.1,0.18,0.38,13.9,0.0,0,0,1.9,0.12,1.1,1.1,740.0,703.0,36.0,7.0,1.0,15.0,13.0,5.0,0.0,4.0,0.0,655.0,1.0,7.0,88.5,10790.0,3194.0,2,1.3,1.3,14.0,42.0,10.0,2.0,28.0,29.0,20.0,3.0,1.0,3.0,0.0,5.0,17.0,12.0,10.0,5.0,2.0,80.0,3.0,7.0,4.0,21,7.0,2.0,835.0,75.0,23.0,3.0,30.0,3.0,30.0,558.0,12.0,3.0,9.0,9.0,632.0,28.0,0,0,0,8.0,0.0,0.0,0.0,54.0,13.0,50.0
2023-08-12,12:30,Sat,Premier League,Matchweek 1,Home,W,Arsenal,Nott'ham Forest,2,1,0.8,1.2,78.0,Martin Ødegaard,4-3-3,3-4-3,15.0,7.0,46.7,0.13,0.29,19.1,0.0,0,0,0.8,0.06,1.2,1.2,807.0,756.0,49.0,5.0,1.0,14.0,18.0,8.0,8.0,0.0,0.0,716.0,2.0,7.0,88.7,11400.0,3204.0,2,0.6,0.9,13.0,61.0,13.0,1.0,58.0,30.0,28.0,0.0,2.0,0.0,0.0,4.0,19.0,15.0,4.0,12.0,3.0,53.3,7.0,5.0,7.0,26,9.0,0.0,902.0,44.0,30.0,4.0,26.7,8.0,53.3,706.0,34.0,6.0,10.0,9.0,712.0,58.0,2,0,0,12.0,0.0,0.0,0.0,48.0,12.0,37.5,1,0,1.5,2.7,58.0,Tom Cairney,4-3-3,4-4-1-1,Match Report,9.0,2.0,22.2,0.11,0.5,13.2,0.0,0,0,1.5,0.17,-0.5,-0.5,600.0,545.0,52.0,0.0,2.0,11.0,22.0,4.0,1.0,1.0,0.0,498.0,3.0,12.0,83.0,8460.0,2970.0,0,0.7,0.5,7.0,33.0,9.0,3.0,38.0,16.0,13.0,1.0,2.0,0.0,0.0,2.0,10.0,4.0,5.0,4.0,1.0,50.0,7.0,6.0,4.0,14,31.0,0.0,691.0,93.0,18.0,6.0,54.5,4.0,36.4,507.0,14.0,2.0,8.0,9.0,495.0,38.0,2,0,0,6.0,0.0,0.0,0.0,43.0,14.0,60.9
2023-08-12,15:00,Sat,Premier League,Matchweek 1,Home,L,Sheffield United,Crystal Palace,0,1,0.5,1.9,32.0,John Egan,3-4-3,4-2-3-1,8.0,1.0,12.5,0.0,0.0,19.4,0.0,0,0,0.5,0.06,-0.5,-0.5,297.0,247.0,48.0,1.0,0.0,14.0,18.0,5.0,0.0,4.0,0.0,181.0,2.0,10.0,60.9,3153.0,1529.0,0,0.4,0.2,5.0,16.0,5.0,1.0,20.0,12.0,8.0,3.0,1.0,0.0,0.0,0.0,22.0,11.0,10.0,6.0,6.0,23.5,13.0,15.0,11.0,33,36.0,0.0,441.0,64.0,14.0,2.0,16.7,9.0,75.0,177.0,5.0,1.0,11.0,12.0,179.0,20.0,3,0,0,18.0,0.0,0.0,0.0,51.0,13.0,29.5,1,2,1.2,0.8,22.0,Joe Worrall,3-4-3,4-3-3,Match Report,6.0,2.0,33.3,0.17,0.5,17.3,0.0,0,0,1.2,0.2,-0.2,-0.2,228.0,193.0,34.0,1.0,0.0,6.0,9.0,3.0,2.0,1.0,0.0,154.0,1.0,5.0,67.5,3239.0,1786.0,1,1.2,0.9,5.0,15.0,5.0,0.0,14.0,10.0,7.0,1.0,1.0,1.0,0.0,2.0,17.0,10.0,13.0,3.0,1.0,66.7,4.0,5.0,8.0,25,18.0,0.0,336.0,61.0,12.0,7.0,38.9,8.0,44.4,159.0,11.0,2.0,11.0,11.0,151.0,14.0,2,0,0,12.0,0.0,0.0,0.0,34.0,20.0,62.5
2023-08-12,17:30,Sat,Premier League,Matchweek 1,Home,W,Newcastle United,Aston Villa,5,1,3.3,1.8,52.0,Kieran Trippier,4-3-3,4-2-3-1,17.0,12.0,70.6,0.29,0.42,13.2,0.0,0,0,3.3,0.2,1.7,1.7,536.0,486.0,48.0,5.0,3.0,11.0,15.0,6.0,2.0,2.0,0.0,452.0,2.0,5.0,84.3,7568.0,2644.0,4,3.3,2.1,14.0,30.0,8.0,2.0,32.0,31.0,22.0,3.0,3.0,1.0,0.0,10.0,16.0,9.0,9.0,6.0,1.0,21.4,11.0,9.0,7.0,23,15.0,0.0,646.0,61.0,32.0,7.0,43.8,5.0,31.3,459.0,16.0,8.0,13.0,8.0,451.0,32.0,4,0,0,12.0,0.0,0.0,0.0,49.0,5.0,45.5,1,1,1.1,1.3,38.0,Kurt Zouma,4-2-3-1,4-2-3-1,Match Report,16.0,2.0,12.5,0.06,0.5,16.1,0.0,0,0,1.1,0.07,-0.1,-0.1,345.0,295.0,48.0,3.0,4.0,14.0,22.0,4.0,4.0,0.0,0.0,233.0,2.0,15.0,67.5,4187.0,2148.0,1,0.9,1.3,13.0,21.0,7.0,2.0,30.0,26.0,18.0,4.0,2.0,0.0,1.0,2.0,30.0,19.0,16.0,11.0,3.0,56.5,10.0,6.0,6.0,36,32.0,1.0,489.0,63.0,28.0,10.0,43.5,9.0,39.1,195.0,10.0,4.0,22.0,8.0,227.0,30.0,4,0,0,14.0,0.0,0.0,0.0,52.0,29.0,64.4
2023-08-12,15:00,Sat,Premier League,Matchweek 1,Home,W,Brighton and Hove Albion,Luton Town,4,1,4.0,1.5,70.0,Lewis Dunk,4-2-3-1,3-5-2,26.0,11.0,42.3,0.12,0.27,17.0,0.0,1,1,3.2,0.12,0.0,-0.2,651.0,603.0,46.0,1.0,2.0,23.0,16.0,6.0,1.0,2.0,0.0,579.0,2.0,7.0,88.9,9392.0,3379.0,2,2.9,2.9,23.0,40.0,17.0,5.0,64.0,48.0,36.0,5.0,2.0,3.0,0.0,6.0,13.0,10.0,5.0,6.0,2.0,87.5,1.0,6.0,4.0,17,14.0,0.0,769.0,73.0,49.0,6.0,31.6,9.0,47.4,557.0,29.0,11.0,19.0,8.0,574.0,64.0,2,0,0,11.0,1.0,1.0,0.0,50.0,12.0,36.4,1,5,1.8,3.3,48.0,John McGinn,4-2-3-1,4-3-3,Match Report,16.0,6.0,37.5,0.06,0.17,14.5,1.0,0,0,1.8,0.12,-0.8,-0.8,491.0,439.0,52.0,7.0,1.0,16.0,23.0,5.0,2.0,2.0,0.0,412.0,0.0,12.0,83.9,6524.0,2320.0,1,0.9,0.9,13.0,36.0,5.0,0.0,38.0,30.0,18.0,5.0,1.0,2.0,1.0,2.0,13.0,10.0,6.0,5.0,2.0,41.7,7.0,5.0,6.0,19,14.0,1.0,588.0,65.0,20.0,11.0,55.0,3.0,15.0,335.0,21.0,3.0,14.0,13.0,407.0,38.0,4,0,0,17.0,0.0,0.0,0.0,44.0,6.0,54.5
2023-08-12,15:00,Sat,Premier League,Matchweek 1,Home,L,Everton,Fulham,0,1,2.7,1.5,42.0,James Tarkowski,4-4-1-1,4-3-3,19.0,9.0,47.4,0.0,0.0,15.8,0.0,0,0,2.7,0.14,-2.7,-2.7,426.0,363.0,57.0,1.0,4.0,26.0,27.0,10.0,4.0,5.0,0.0,316.0,6.0,10.0,74.2,5926.0,2172.0,0,2.4,1.0,14.0,31.0,8.0,2.0,29.0,36.0,22.0,5.0,2.0,2.0,1.0,0.0,13.0,6.0,5.0,3.0,5.0,40.0,6.0,12.0,13.0,26,16.0,0.0,531.0,47.0,24.0,7.0,50.0,7.0,50.0,292.0,15.0,5.0,12.0,3.0,313.0,29.0,0,0,0,12.0,0.0,0.0,0.0,52.0,9.0,39.1,1,0,1.9,0.5,68.0,Joel Ward,4-2-3-1,3-4-3,Match Report,24.0,8.0,33.3,0.04,0.13,18.5,1.0,0,0,1.9,0.08,-0.9,-0.9,617.0,553.0,62.0,1.0,5.0,17.0,31.0,5.0,1.0,4.0,0.0,503.0,2.0,17.0,81.5,9305.0,3509.0,1,1.7,1.3,20.0,36.0,8.0,1.0,42.0,44.0,26.0,7.0,2.0,3.0,1.0,2.0,21.0,9.0,7.0,8.0,6.0,81.8,2.0,10.0,4.0,25,16.0,0.0,745.0,49.0,31.0,13.0,68.4,4.0,21.1,472.0,18.0,5.0,27.0,18.0,497.0,42.0,0,0,0,11.0,0.0,0.0,0.0,55.0,31.0,70.5
2023-08-12,15:00,Sat,Premier League,Matchweek 1,Home,D,Bournemouth,West Ham,1,1,1.3,1.1,62.0,Neto,4-2-3-1,4-2-3-1,14.0,5.0,35.7,0.07,0.2,20.7,1.0,0,0,1.3,0.1,-0.3,-0.3,566.0,511.0,55.0,2.0,2.0,23.0,21.0,10.0,6.0,0.0,1.0,450.0,0.0,10.0,79.5,8335.0,2665.0,0,0.3,0.5,9.0,41.0,12.0,2.0,42.0,25.0,17.0,2.0,2.0,2.0,1.0,2.0,17.0,6.0,6.0,6.0,5.0,47.4,10.0,12.0,7.0,24,13.0,1.0,693.0,55.0,21.0,10.0,41.7,13.0,54.2,428.0,13.0,1.0,20.0,17.0,440.0,42.0,1,0,0,9.0,0.0,0.0,0.0,61.0,16.0,35.6,1,4,1.5,4.0,30.0,Tom Lockyer,3-5-2,4-2-3-1,Match Report,8.0,2.0,25.0,0.0,0.0,16.6,0.0,1,1,0.7,0.09,-0.5,-0.7,276.0,228.0,45.0,0.0,4.0,22.0,11.0,7.0,1.0,6.0,0.0,189.0,3.0,6.0,68.5,4180.0,2101.0,0,0.7,1.1,7.0,17.0,6.0,3.0,27.0,16.0,12.0,2.0,0.0,0.0,1.0,1.0,17.0,12.0,9.0,6.0,2.0,60.0,6.0,5.0,9.0,26,28.0,2.0,395.0,87.0,19.0,1.0,9.1,7.0,63.6,189.0,13.0,5.0,13.0,6.0,187.0,27.0,2,0,0,12.0,0.0,1.0,0.0,41.0,21.0,63.6
2023-08-13,14:00,Sun,Premier League,Matchweek 1,Home,D,Brentford,Tottenham,2,2,2.2,1.3,31.0,Christian Nørgaard,5-3-2,4-2-3-1,10.0,5.0,50.0,0.1,0.2,18.0,0.0,1,1,1.4,0.14,-0.2,-0.4,344.0,298.0,45.0,1.0,7.0,13.0,20.0,3.0,1.0,0.0,1.0,256.0,1.0,6.0,74.4,4769.0,2102.0,1,1.3,1.0,7.0,16.0,11.0,2.0,29.0,18.0,15.0,0.0,1.0,1.0,0.0,4.0,17.0,9.0,11.0,5.0,1.0,38.5,16.0,10.0,8.0,25,35.0,0.0,464.0,82.0,27.0,5.0,41.7,4.0,33.3,213.0,10.0,4.0,11.0,12.0,254.0,29.0,1,0,0,12.0,1.0,0.0,0.0,47.0,15.0,57.7,1,1,1.3,1.4,35.0,Virgil van Dijk,4-3-3,3-4-3,Match Report,13.0,1.0,7.7,0.08,1.0,17.8,0.0,0,0,1.3,0.1,-0.3,-0.3,411.0,371.0,35.0,2.0,3.0,12.0,11.0,4.0,3.0,1.0,0.0,316.0,5.0,10.0,76.9,5175.0,2083.0,1,1.2,0.8,10.0,25.0,8.0,2.0,34.0,24.0,21.0,2.0,0.0,0.0,0.0,2.0,19.0,9.0,10.0,6.0,3.0,33.3,10.0,17.0,10.0,29,39.0,0.0,542.0,80.0,22.0,10.0,58.8,6.0,35.3,286.0,14.0,6.0,14.0,7.0,314.0,33.0,3,0,0,13.0,0.0,0.0,0.0,62.0,6.0,35.3
2023-08-13,16:30,Sun,Premier League,Matchweek 1,Home,D,Chelsea,Liverpool,1,1,1.4,1.3,65.0,Reece James,3-4-3,4-3-3,10.0,4.0,40.0,0.1,0.25,13.2,1.0,0,0,1.4,0.14,-0.4,-0.4,755.0,700.0,52.0,4.0,3.0,26.0,23.0,4.0,1.0,1.0,0.0,645.0,3.0,20.0,85.4,10545.0,3694.0,1,1.3,1.2,9.0,51.0,13.0,4.0,57.0,19.0,15.0,1.0,1.0,2.0,0.0,2.0,13.0,9.0,6.0,5.0,2.0,37.5,10.0,9.0,7.0,20,18.0,0.0,862.0,57.0,32.0,10.0,52.6,5.0,26.3,631.0,22.0,6.0,25.0,14.0,640.0,57.0,3,0,0,5.0,0.0,0.0,0.0,63.0,11.0,64.7,2,2,1.3,2.2,69.0,Son Heung-min,4-2-3-1,5-3-2,Match Report,18.0,6.0,33.3,0.11,0.33,19.6,0.0,0,0,1.3,0.07,0.7,0.7,754.0,712.0,42.0,2.0,1.0,23.0,16.0,6.0,4.0,2.0,0.0,658.0,0.0,11.0,87.3,9253.0,2521.0,2,1.1,1.8,11.0,74.0,6.0,1.0,51.0,27.0,18.0,2.0,2.0,1.0,0.0,4.0,16.0,10.0,3.0,8.0,5.0,44.4,5.0,5.0,10.0,26,18.0,0.0,864.0,63.0,32.0,16.0,57.1,10.0,35.7,664.0,28.0,8.0,10.0,7.0,654.0,50.0,4,0,0,13.0,0.0,1.0,0.0,50.0,11.0,42.3
2023-08-14,20:00,Mon,Premier League,Matchweek 1,Home,W,Manchester United,Wolves,1,0,2.2,2.2,51.0,Bruno Fernandes,4-1-4-1,4-4-2,15.0,2.0,13.3,0.07,0.5,14.7,0.0,0,0,2.2,0.15,-1.2,-1.2,502.0,458.0,43.0,1.0,3.0,17.0,14.0,8.0,0.0,5.0,0.0,402.0,1.0,8.0,80.1,6421.0,2253.0,1,2.2,1.7,13.0,32.0,15.0,1.0,50.0,27.0,22.0,1.0,0.0,0.0,3.0,2.0,18.0,11.0,7.0,9.0,2.0,29.0,22.0,11.0,8.0,26,21.0,0.0,643.0,84.0,34.0,11.0,50.0,9.0,40.9,380.0,22.0,10.0,21.0,14.0,393.0,49.0,2,0,0,15.0,0.0,0.0,0.0,66.0,7.0,29.2,0,1,2.2,2.2,49.0,Max Kilman,4-4-2,4-1-4-1,Match Report,23.0,6.0,26.1,0.0,0.0,15.3,0.0,0,0,2.2,0.1,-2.2,-2.2,487.0,434.0,50.0,1.0,2.0,23.0,16.0,7.0,5.0,1.0,0.0,386.0,3.0,12.0,79.3,6062.0,2424.0,0,1.8,1.6,19.0,22.0,14.0,5.0,29.0,42.0,26.0,4.0,4.0,3.0,3.0,0.0,23.0,10.0,17.0,4.0,2.0,45.0,11.0,7.0,18.0,41,20.0,0.0,634.0,86.0,43.0,22.0,62.9,9.0,25.7,371.0,31.0,4.0,23.0,9.0,374.0,28.0,3,0,0,10.0,0.0,0.0,0.0,69.0,17.0,70.8
